result_id	state	evidence_class	job_ids	artifact	candidate_revision	baseline	planned_games	completed_games	wins	draws	losses	score_rate	interpretation
seed-replay-gate-v1-attempt1	failed	infrastructure-launch	21291567	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/slurm/seed-replay-gate-v1-21291567.err	6f3853b	clean-upstream-165b77a-shared-api	11	0					Exit 127 at time zero; module function unavailable in the non-login batch shell; no game created
seed-replay-gate-v1-attempt2	failed	infrastructure-launch	21291713	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/slurm/seed-replay-gate-v1-21291713.err	c091fc4	clean-upstream-165b77a-shared-api	11	0					Exit 127 at time zero; explicit Lmod initialization still unavailable on compute-node batch image; no game created
seed-replay-gate-v1	completed	infrastructure-validation	21291720	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/seed-replay-gate-v1/21291720	57b81f9	clean-upstream-165b77a-shared-api	11	11	0	11	0	0.5	Passed deterministic replay endpoint under pi_jss233: 10/10 same-seed traces identical and different seed diverged; all matches tick-cap draws, so no gameplay inference
map-fidelity-preflight-v1-attempt1	failed	infrastructure-validation	21296136	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/map-fidelity-preflight-v1/21296136	06dece0	passive-probes-no-policy-bots	6	0					Failed closed before map load because the manifest used display label Iraq instead of internal country identifier Arabs; no policy outcomes
map-fidelity-preflight-v1	completed	infrastructure-validation	21296316	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/map-fidelity-preflight-v1/21296316	3f605eb	passive-probes-no-policy-bots	6	6					Passed 3/3 role-blind maps and 6/6 reciprocal passive sessions to tick 250 under pi_jss233; preflight only, not full-map clearance or gameplay evidence
map-fidelity-preflight-v2-calibration-attempt1	failed	infrastructure-validation	21589713	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21589713	7b28f6e	passive-probes-no-policy-bots	22	0					Failed closed during manifest preparation because the shared MIX tree lacked a representative-basename copy; no engine session or policy outcome was produced; private content-addressed alias materialization makes that precondition unnecessary
map-fidelity-preflight-v2-calibration-attempt2	failed	infrastructure-validation	21590059	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21590059	b8e307f	passive-probes-no-policy-bots	22	0					Manifest preparation succeeded, then pre-worker attestation failed closed on a second obsolete shared-MIX-basename assertion; no engine session or policy outcome was produced
map-fidelity-preflight-v2-calibration-attempt3	failed	infrastructure-validation	21590401	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21590401	778c3c1	passive-probes-no-policy-bots	22	0					Manifest and pre-worker attestation succeeded, but all 11 isolated workers exited with code 2 and produced no shard or accepted session; raw-error suppression made the shared technical stage opaque; no compatibility or policy outcome was classified
map-fidelity-preflight-v2-calibration-attempt4	failed	infrastructure-validation	21591618	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21591618	b210304	passive-probes-no-policy-bots	22	0					All 11 workers failed deterministically at manifest_validate with one shared hashed diagnostic; the hash resolved offline to a Python/TypeScript family-schema mismatch before engine initialization; no compatibility or policy outcome was classified
map-fidelity-preflight-v2-calibration-attempt5	failed	infrastructure-validation	21593414	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21593414	03e1830	passive-probes-no-policy-bots	22	0					Cross-language manifest validation and pre-attestation passed; all 11 workers reached engine_run then failed with the same authenticated MapLoadAttestationError hash, resolved offline to zero initialization reads after an earlier engine initialization error; no compatibility or policy outcome was classified
map-fidelity-preflight-v2-calibration-attempt6	failed	infrastructure-validation	21594867	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21594867	6f1f42b	passive-probes-no-policy-bots	22	0					Manifest validation and pre-attestation passed; all 11 workers failed deterministically at engine_initialize with one shared FileNotFoundError hash, resolved offline to missing language.mix because the configured asset directory was empty; no map read, game, compatibility classification, or policy outcome occurred
map-fidelity-preflight-v2-calibration-attempt7	failed	infrastructure-validation	21595767	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21595767	5f80a55	passive-probes-no-policy-bots	22	0					The corrected engine asset tree initialized successfully, but all 11 workers then failed at engine_map_initialize with the same zero-read attestation hash because cdapi.init had registered the repository cwd instead of the private alias sandbox; no authenticated map read, game, compatibility classification, or policy outcome occurred
map-fidelity-preflight-v2-calibration-attempt8	failed	infrastructure-validation	21596840	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21596840	2bde43a	passive-probes-no-policy-bots	22	22					All 11 isolated workers completed exact-read reciprocal passive probes and the supervisor accepted 11 shards, but the independent Python post-worker validator rejected nullable starts on failed loads despite the TypeScript schema allowing them; provisional compatibility labels are inadmissible until cross-language validation completes; no policy outcome occurred
map-fidelity-preflight-v2-calibration-attempt9	completed	infrastructure-validation	21597261	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21597261	21d202d	passive-probes-no-policy-bots	22	22					First technically complete expanded calibration, independently verified at verifier revision 0b5d488 with tree commitment 98d983481e20acc4ab67efcb2b0034c724f4a638cc73c585dc28cadf68d730cd; compatibility verdict FAIL with 4 pass, 2 review, and 5 fail families; infrastructure evidence only and no policy outcome occurred
map-fidelity-preflight-v2-calibration-final	completed	infrastructure-validation	21599648	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21599648	eab4925	passive-probes-no-policy-bots	22	22					Source-matched one-attempt calibration completed under pi_jss233 and independently verified with tree commitment 85b92025795aa842149d2d7f6c5ad3f89d299555c7b59124bf38b6d03dd6b4c0; all 11 families were technically complete with 4 pass, 2 review, and 5 fail classifications; infrastructure evidence only and no policy outcome occurred
map-fidelity-preflight-v2-confirmation	completed	infrastructure-validation	21600745	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21600745	eab4925	passive-probes-no-policy-bots	22	22					Two-attempt-cap confirmation completed under pi_jss233 with no retries and was independently verified with tree commitment f1528632f4026251b13ae0c7315ce937a3c483aba85394f3dbe49dab1e81d718; normalized family evidence exactly reproduced calibration (4 pass, 2 review, 5 fail); infrastructure evidence only and no policy outcome occurred
map-fidelity-preflight-v2-waypoint-corrected-calibration	completed	infrastructure-validation	21606315	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21606315	a8a6c57	passive-probes-no-policy-bots	22	22					Source-matched one-attempt calibration after private warning adjudication and the prospective invalid-waypoint classifier repair; independently verified with tree commitment 584a9fdf7cad0af4beaa17bd65981b6e2c398edc724a9ebe0ac99fc37a929fd2; 4 pass, 0 review, 7 fail; infrastructure evidence only and no policy outcome occurred
map-fidelity-preflight-v2-waypoint-corrected-confirmation	completed	infrastructure-validation	21606800	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-gate-v2/preflight/21606800	a8a6c57	passive-probes-no-policy-bots	22	22					Same-commit two-attempt-cap confirmation completed with no retries and independently verified with tree commitment 1a16147842b4d69776a5e639937b2be5f2c756ca38ce93b4d7e9c109266bb90e; normalized family payloads exactly reproduce calibration (4 pass, 0 review, 7 fail); infrastructure evidence only and no policy outcome occurred
map-fidelity-temperate-v1-screen	completed	infrastructure-validation	21608050	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-temperate-v1/full/21608050	7e059926	passive-probes-no-policy-bots	134	134					All 67 role-blind Temperate families completed reciprocal passive probes on first attempt under pi_jss233; independently verified tree commitment 68e51b29b0d96f395d48142f8cdb4a89bab00ddec6d0ab4b235e266d2e8364e3; 54 pass, 7 review, 6 fail; infrastructure evidence only and no policy outcome occurred
map-fidelity-temperate-v1-confirmation	completed	infrastructure-validation	21608882	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/map-compatibility-temperate-v1/full/21608882	b245ae2	passive-probes-no-policy-bots	134	134					Independent full confirmation completed all 67 families on first attempt under pi_jss233; verified tree commitment c8b8e94da46e494258896f934608a53ac7f15e3be8bbc1c2cd92c7795c7f12f4; normalized per-family evidence exactly reproduced job 21608050 (54 pass, 7 review, 6 fail); infrastructure evidence only and no policy outcome occurred
research-runner-smoke-v1	completed	training-calibration	21655228	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v1/smoke-81a93c5/21655228_0	81a93c505209b3d64b13ff5023aacf541b3fc87e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	2	2	0	0	2	0.0	Strict plan 2339b22b92b40f075da3c5361feae0e5ba3ed5c93a3dcb535cab189ea6ccdc97 completed 2/2 reciprocal default-policy launches under pi_jss233 with no technical failure and 529336 KiB peak RSS; both favored Supalosa; training-family calibration only, not method-comparison or paper evidence
optimizer-stage0-v1-superseded-prelaunch	cancelled-superseded	infrastructure-launch	21655409,21655410,21655411,21655412,21655413	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v1/plans/optimizer-v1-37c9358	37c9358-plus-subsequent-runtime-build	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	1920	0					Arrays were cancelled within 11 seconds after the compiled training runtime changed during selector implementation; zero events.jsonl files and zero counted launches were created, so no game or policy outcome belongs to this superseded campaign
optimizer-v1-run0-complete	completed	training-only	21655584,21749720,21749797-controller,21759850	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v1/optimizer-v1-bbe7616/finalists/run-0-optimizer-artifact.json	bbe7616fddcff970ab2767ad1212fd4faed06c9e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	936	936					All 40 accepted shards completed under pi_jss233 with zero technical failures; training-only finalizer SHA-256 4981febcb99503564a6850f47c161fecd1f9a6159defae881f13e0744f1dae28; mixed-policy outcomes are not a paper result
optimizer-v1-run1-complete	completed	training-only	21655585,21749724,21749797-controller,21759851	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v1/optimizer-v1-bbe7616/finalists/run-1-optimizer-artifact.json	bbe7616fddcff970ab2767ad1212fd4faed06c9e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	936	936					All 40 accepted shards completed under pi_jss233 with zero technical failures; training-only finalizer SHA-256 4d7fd4baba96cf579ae3193baa83f08f87b39d8e8d6fddb82e38c253ed9533f4; mixed-policy outcomes are not a paper result
optimizer-v1-run2-complete	completed	training-only	21655586,21749725,21749797-controller,21759852	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v1/optimizer-v1-bbe7616/finalists/run-2-optimizer-artifact.json	bbe7616fddcff970ab2767ad1212fd4faed06c9e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	936	936					All 40 accepted shards completed under pi_jss233 with zero technical failures; training-only finalizer SHA-256 1e24851265f30cf5df05da821d99203a4b41434468a76e590a59f16d58163908; mixed-policy outcomes are not a paper result
optimizer-v1-run3-complete	completed	training-only	21655587,21749726,21749797-controller,21759853	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v1/optimizer-v1-bbe7616/finalists/run-3-optimizer-artifact.json	bbe7616fddcff970ab2767ad1212fd4faed06c9e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	936	936					All 40 accepted shards completed under pi_jss233 with zero technical failures; training-only finalizer SHA-256 666570957161e4382d31fe617996bf2fdf675b13ddeab62a2089b11d9b5a4f41; mixed-policy outcomes are not a paper result
optimizer-v1-run4-complete	completed	training-only	21655588,21749727,21749797-controller,21759854	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v1/optimizer-v1-bbe7616/finalists/run-4-optimizer-artifact.json	bbe7616fddcff970ab2767ad1212fd4faed06c9e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	936	936					All 40 accepted shards completed under pi_jss233 with zero technical failures; training-only finalizer SHA-256 b82d6c3423ed99b94c1fb2be2514ad98624f916463c49f3d8d5ae01f0d79b896; mixed-policy outcomes are not a paper result
method-v2-common-seed-championship	completed	training-selection	21788958,21799790	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/training-v2/championship-v2-f11dcd6/method-v2-champion.json	f11dcd6ef320482fdd5124141b3206e775ea0ea4	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	2112	2112					Stage A and B completed 44/44 shards under pi_jss233 with zero failures; artifact SHA-256 40a53c142fa30725ea5d22032d4b6dfcda4f358e15e1b8d36ac6a102b76e9ee1 selected champion ab0071009cbd5f1fc9e2f1a76a562455a0ebeacf77dac1cd9c13b9fc6374203f; training selection is not held-out evidence
method-v2-development-default	completed	development-futility	21922464	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/development-v2/champion-v2-a955ce5/development-v2-unblinding.json	a955ce55fcfbabd18b3074cf77230b207f112180	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	160	160	25	46	89	0.3	Single scheduled development unblinding; default-policy arm only; permissive futility evidence, not confirmatory
method-v2-development-champion	completed	development-futility	21922464	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/development-v2/champion-v2-a955ce5/development-v2-unblinding.json	a955ce55fcfbabd18b3074cf77230b207f112180	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	160	160	38	115	7	0.596875	Champion-minus-default estimate 0.296875 with one-sided 80% lower bound 0.196302; absolute margin lower bound 0.048452; both frozen development gates passed
method-v2-confirmatory-default	completed	confirmatory-control	21925439	research/artifacts/method_v2_confirmatory_result_v1.json	698dc7601b61a80e091ce7b8ac2b9e681685bc69	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	256	256	1	100	155	0.19921875	Default arm on 16 sealed families; paired source for the frozen champion-minus-default contrast
method-v2-confirmatory-champion	completed	confirmatory-primary	21925439	research/artifacts/method_v2_confirmatory_result_v1.json	698dc7601b61a80e091ce7b8ac2b9e681685bc69	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	256	256	47	180	29	0.53515625	Improvement 0.3359375, family-clustered SE 0.0569474, two-sided 95% CI [0.214557,0.457318] passed; one-sided 95% lower absolute margin -0.021174 failed, so reliable-beats-Supalosa claim is not supported
method-v2-mechanism-diagnostic	completed	post-confirmatory-diagnostic	21928633	research/artifacts/method_v2_mechanism_ablation_result_v1.json	29ced1d76c39acf63f73ba6951c6d537e4335a9f	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	480	480					Champion-minus-equal-average-of-five-local-optimizers estimate 0.0825 with family-clustered 95% CI [-0.026789,0.191789]; all five pairwise point estimates positive but unresolved
method-v2-component-diagnostic-zero-launch	failed-prelaunch	infrastructure-launch	21938264	/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/component-v2/champion-v2-5b3cb03/failed-launch-21938264.json	5b3cb036e071f9a5e6e74f7d113f8e5f3040d806	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	480	0					All 40 tasks failed uniformly during private-role loading before results directories or launch_counted events; retired and excluded; failure artifact SHA-256 9481d3055d0f79c7b3bc021dbc95647cca52363d13ad3be346125881c3954b89
method-v2-component-diagnostic	completed	post-confirmatory-diagnostic	21938403	research/artifacts/method_v2_component_ablation_result_v1.json	4ada6ed1d260e77df5948226631630695022266e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	480	480					Champion-minus-equal-revert-average estimate 0.0575 with 95% CI [-0.003469,0.118469]; strategy revert estimate 0.33125 but Bonferroni familywise 95% CI [-0.007342,0.669842]; no component clears multiplicity control
method-v2-terminal-state-analysis	completed	post-outcome-analysis	reuses-21925439,21928633,21938403	research/artifacts/method_v2_terminal_state_analysis_v1.json	806f6857b7eb28802a4827dd71d2046d155db48e	clean-upstream-165b77a-runtime-34349919-shared-api-2498499d	1472	1472					Deterministic descriptive reanalysis only, not new launches; stable draw-to-draw champion-minus-default differences are +22.71 relative combatants and -683.82 relative credits; artifact SHA-256 61d84614a5f8088bb38f263a772ec1c34a1334283d51098e96af3d85839dc6b4
